Date,cond_uScm
1/2/21 0:00,33.12182868
1/3/21 0:00,33.89173767
1/4/21 0:00,34.67974729
1/5/21 0:00,35.69871417
1/6/21 0:00,34.06404628
1/7/21 0:00,34.35891424
1/8/21 0:00,33.26712906
1/9/21 0:00,33.9975
1/10/21 0:00,33.825625
1/11/21 0:00,33.74979167
1/12/21 0:00,33.32770833
1/13/21 0:00,32.15854167
1/14/21 0:00,32.7975
1/15/21 0:00,31.01416667
1/16/21 0:00,31.53583333
1/17/21 0:00,34.34270833
1/18/21 0:00,32.14083333
1/19/21 0:00,33.91625
1/20/21 0:00,30.898125
1/21/21 0:00,28.35729167
1/26/21 0:00,29.08416667
1/27/21 0:00,29.36708333
1/28/21 0:00,29.72541667
2/5/21 0:00,32.624375
2/8/21 0:00,30.37717274
2/9/21 0:00,30.81493191
2/10/21 0:00,31.70076483
2/11/21 0:00,32.54676753
2/12/21 0:00,31.78210479
2/13/21 0:00,32.56730295
2/14/21 0:00,33.62927712
2/15/21 0:00,32.16817219
2/16/21 0:00,31.41052087
2/17/21 0:00,31.96312569
2/18/21 0:00,33.11332851
2/19/21 0:00,33.53027517
2/20/21 0:00,32.48659823
2/21/21 0:00,33.71570906
2/22/21 0:00,34.81303097
2/23/21 0:00,33.58779403
2/24/21 0:00,35.73125653
2/25/21 0:00,36.77581
3/17/21 0:00,28.65318917
3/18/21 0:00,29.37070188
3/19/21 0:00,30.27105955
3/20/21 0:00,29.76962111
3/21/21 0:00,30.70217149
3/22/21 0:00,30.81141049
3/23/21 0:00,31.21946194
3/24/21 0:00,30.92396635
3/25/21 0:00,31.07940705
3/26/21 0:00,31.04793309
3/27/21 0:00,30.78855462
3/28/21 0:00,30.10424125
3/29/21 0:00,30.19322858
3/30/21 0:00,30.94236958
3/31/21 0:00,32.00356316
4/1/21 0:00,30.86638795
4/2/21 0:00,32.57427201
4/3/21 0:00,31.75787427
4/4/21 0:00,32.04602535
4/5/21 0:00,31.69479083
4/6/21 0:00,30.40428417
4/7/21 0:00,28.75990611
4/8/21 0:00,27.28562382
4/9/21 0:00,26.03510087
4/10/21 0:00,25.96713618
4/11/21 0:00,24.99652483
4/12/21 0:00,25.22346955
4/13/21 0:00,25.72493774
4/14/21 0:00,22.5864708
4/15/21 0:00,19.78784274
4/16/21 0:00,19.09160802
4/17/21 0:00,19.51811302
4/18/21 0:00,20.31762292
4/19/21 0:00,21.00540038
