"Date","waterYear","Temperature_C","cond_uScm","wy_doy","ice_or_no","ice_presence","Flow","cumulative_dis","airT_mean","airT_max","airT_min","wind_10m_mean","wind_10m_max","cumulative_water_temp","cumulWaterTemp_3day_slope","cumulWaterTemp_5day_slope","CFDD","temp_5day_mean","temp_7day_mean","z_cond_uScm","CLWD","wind_2day_mean"
2013-12-14,2014,0.5,22.48,75,1,"ice",0.62,127.02,-9.51416666666667,-7.53,-11.3,31.6396245681651,31.8300580903975,133.9,0.54999999999997,0.559999999999998,31,-7.81083333333333,-11.0203571428571,0.931659362414313,0,31.8383378088094
2013-12-15,2014,0.7,22.5,76,1,"ice",0.62,127.64,-5.86708333333333,-2.79,-9.26,31.2421980868926,31.4326316092169,134.6,0.599999999999965,0.590000000000004,32,-6.3095,-9.44541666666667,0.967519636682982,0,31.4409113275289
2014-10-01,2015,2.7,16.73,1,0,"no ice",8.18,8.18,0.574583333333333,3.93,-2.54,7.76708051766492,17.2309887727252,2.7,NA,NA,0,-4.43416666666667,-6.3352380952381,-1.56533473288176,1,19.5046393022788
2014-10-02,2015,1.6,17.01,2,0,"no ice",6.8,14.98,-2.02208333333333,0.28,-4.45,18.3893481109083,26.6238209984588,4.3,NA,NA,1,-4.52158333333333,-4.71357142857143,-1.46145702841611,0,13.0782143142866
2014-10-03,2015,1.3,17.27,3,0,"no ice",5.91,20.89,1.07041666666667,4.99,-1.98,20.2328263896945,26.4510792563763,5.6,1.45,NA,0,-3.15166666666667,-3.30321428571429,-1.36499915998372,0,19.3110872503014
2014-10-04,2015,1.3,17.5,4,0,"no ice",5.64,26.53,3.68208333333333,7.57,1,19.4847286888535,26.5158574096573,6.9,1.3,NA,0,-0.512416666666666,-2.55077380952381,-1.27967104560122,0,19.858777539274
2014-10-05,2015,2.2,17.58,5,0,"no ice",5.21,31.74,4.39916666666667,8.37,1.03,15.9952555292342,24.3026038392258,9.1,1.75,1.54,0,1.54083333333333,-1.09672619047619,-1.24999170146818,0,17.7399921090439
2014-10-06,2015,3.1,17.6,6,0,"no ice",4.82,36.56,5.70375,10.32,2.46,22.3682562065316,27.8114204752757,12.2,2.65,1.93,0,2.56666666666667,1.0772619047619,-1.24257186543492,0,19.1817558678829
2014-10-07,2015,3.7,17.69,7,0,"no ice",4.69,41.25,7.47208333333333,12.3,4.18,12.1139645116983,24.4861419401884,15.9,3.4,2.59,0,4.4655,2.98285714285714,-1.20918260328524,0,17.2411103591149
2014-10-08,2015,4.8,17.69,8,0,"no ice",4.68,45.93,7.25625,13.02,2.15,3.33472534909774,7.40630219178537,20.7,4.25,3.44,0,5.70266666666667,3.93738095238095,-1.20918260328524,1,7.72434493039799
2014-10-09,2015,4.7,17.66,9,0,"no ice",4.99,50.92,2.24041666666667,5.49,-0.67,2.58482825523622,6.4238335336914,25.4,4.75,4.11,0,5.41433333333333,4.54630952380952,-1.22031235733513,2,2.95977680216697
2014-10-10,2015,4.2,17.66,10,0,"no ice",5.21,56.13,1.55125,5.73,-0.96,1.38688226781541,7.309134962,29.6,4.45,4.43,0,4.84475,4.615,-1.22031235733513,3,1.9858552615258
2014-10-11,2015,4.5,17.63,11,0,"no ice",4.93,61.06,4.2875,6.65,2.61,11.9790100259323,22.8342990315249,34.1,4.35,4.53,0,4.5615,4.70148809523809,-1.23144211138502,0,6.68294614687384
